class_title,class_sku,class_url,class_image
"Brand Illustration: Create Unforgettable, Stylized Brand Imagery",1636459821,https://www.skillshare.com/classes/holberton-image-search/1636459821,https://static.skillshare.com/uploads/video/thumbnails/4e052924f0740ea3d64a17173ab38ee9/448-252
"Work from Home as a Creative",1362353074,https://www.skillshare.com/classes/holberton-image-search/1362353074,https://static.skillshare.com/uploads/video/thumbnails/2bb2a18f2ec8eb6be62768ab17b3dee4/448-252
"Create Cinematic Loop Animations in Cinema 4D & After Effects",820409112,https://www.skillshare.com/classes/holberton-image-search/820409112,https://static.skillshare.com/uploads/video/thumbnails/711e3fe654d5644e6815eea0a2afe50f/448-252
"Adobe Illustrator: Design with Gradients",1838495773,https://www.skillshare.com/classes/holberton-image-search/1838495773,https://static.skillshare.com/uploads/video/thumbnails/350873f8e602ea4544e18b3c5e3ba5c5/448-252
"Build Your Website with Shopify & Adobe Portfolio (And No Coding!)",1077817315,https://www.skillshare.com/classes/holberton-image-search/1077817315,https://static.skillshare.com/uploads/video/thumbnails/01ff4d107f8f25ed4a3030aee90abb56/448-252
"Crochet a Plant Pot Cover Using Plastic Bag or T-Shirt Yarn",486454843,https://www.skillshare.com/classes/holberton-image-search/486454843,https://static.skillshare.com/uploads/video/thumbnails/940cf5c1d959044b3d949a1eea40209f/448-252
"Limited Color Palette Illustration in Procreate",1352056137,https://www.skillshare.com/classes/holberton-image-search/1352056137,https://static.skillshare.com/uploads/video/thumbnails/728fab8f2387c52f65f77f9a4b0cd505/448-252
"Inky Florals: 3 Floral Styles Using Only Black Ink",338423893,https://www.skillshare.com/classes/holberton-image-search/338423893,https://static.skillshare.com/uploads/video/thumbnails/a309099159371ba55a24d0aeacaa0e31/448-252
"Colorful Creatures in Gouache & Mixed Media: Explore Your Creativity",2069125872,https://www.skillshare.com/classes/holberton-image-search/2069125872,https://static.skillshare.com/uploads/video/thumbnails/e3a566d278223a05a788f867e6da1b36/448-252
"Photo Storytelling: Using Color, Contrast, and Scale",2100656883,https://www.skillshare.com/classes/holberton-image-search/2100656883,https://static.skillshare.com/uploads/video/thumbnails/3c5297a99c2b5a5b367e991fc35a942a/448-252
"Time Capsule Journal: 6 Prompts for Writing and Reflection",864047115,https://www.skillshare.com/classes/holberton-image-search/864047115,https://static.skillshare.com/uploads/video/thumbnails/8fdbee63a88d6e63c10f8b0f251c605b/448-252
"Find Your Signature Design Style",1752013910,https://www.skillshare.com/classes/holberton-image-search/1752013910,https://static.skillshare.com/uploads/video/thumbnails/62c180e59a96ba59e3f570405ae8e414/448-252
"Adobe Premiere Pro CC – Essentials Training Course",213307785,https://www.skillshare.com/classes/holberton-image-search/213307785,https://static.skillshare.com/uploads/video/thumbnails/123f48b337be95a600885b3ebc439b16/448-252
"Drawing to Pattern in Illustrator - an Illustrator for Lunch™ class",1530988253,https://www.skillshare.com/classes/holberton-image-search/1530988253,https://static.skillshare.com/uploads/video/thumbnails/1faeaf32aed8d8eb8aed4a514c72993e/448-252
"Surface Pattern Design in Adobe Illustrator: A Complete Introduction",926945055,https://www.skillshare.com/classes/holberton-image-search/926945055,https://static.skillshare.com/uploads/video/thumbnails/1f16489feab503e7198899678a7813cc/448-252
"Welcome Spring in Your Botanical Sketchbook",1300731263,https://www.skillshare.com/classes/holberton-image-search/1300731263,https://static.skillshare.com/uploads/video/thumbnails/0142a8c7adb25ab57e373bffdc29978c/448-252
"Loose Florals: Paint a Watercolor Wreath in 5 Steps",499805356,https://www.skillshare.com/classes/holberton-image-search/499805356,https://static.skillshare.com/uploads/video/thumbnails/79016853eeacbb0e7ce1f5393006c127/448-252
